design,cooling_rate,moves_per_temp,p_refine,p_explore,refine_max_distance,W_initial,T_initial_raw,runtime_sec,hpwl,seed,dominated
6502,0.8,200,0.7,0.4,50.0,0.3,50,15.919269699952565,275515.46457525255,107,1
6502,0.8,200,0.7,0.4,50.0,0.3,100,15.52301519998582,287628.60403940204,108,1
6502,0.8,200,0.7,0.4,100.0,0.5,auto,15.223191900004167,366632.3034720993,109,1
6502,0.8,200,0.7,0.4,100.0,0.5,50,15.084013900021091,274650.1232695198,110,1
6502,0.8,200,0.7,0.4,100.0,0.5,100,15.30927760002669,283641.4638928986,111,1
6502,0.8,200,0.7,0.4,100.0,0.3,auto,15.678532399993856,354262.2452749825,112,1
6502,0.8,200,0.7,0.4,100.0,0.3,50,15.745517199975438,273521.9226705551,113,0
6502,0.8,200,0.7,0.4,100.0,0.3,100,15.488492600037716,287920.16379076004,114,1
6502,0.8,200,0.6,0.3,50.0,0.5,auto,15.43500519997906,357157.3345577812,115,1
6502,0.8,200,0.6,0.3,50.0,0.5,50,15.833140300004743,274701.32441955566,116,1
6502,0.8,200,0.6,0.3,50.0,0.5,100,15.272800099977758,286663.3627871132,117,1
6502,0.8,200,0.6,0.3,50.0,0.3,auto,15.124835899972823,349426.7646324348,118,1
6502,0.8,200,0.6,0.3,50.0,0.3,50,14.965575799986254,274292.6431487274,119,1
6502,0.8,200,0.6,0.3,50.0,0.3,100,15.000774700019974,288161.5818740845,120,1
6502,0.8,200,0.6,0.3,100.0,0.5,auto,14.881535099993926,365936.7833273888,121,1
6502,0.8,200,0.6,0.3,100.0,0.5,50,14.774376199988183,273679.9428571892,122,0
6502,0.8,200,0.6,0.3,100.0,0.5,100,14.759283499966841,287561.52322774887,123,1
6502,0.8,200,0.6,0.3,100.0,0.3,auto,14.847240500035696,356477.54550615314,124,1
6502,0.8,200,0.6,0.3,100.0,0.3,50,14.707635700004175,274025.1214938736,125,0
6502,0.8,200,0.6,0.3,100.0,0.3,100,14.8479556000093,287010.76196971897,126,1
6502,0.8,200,0.6,0.4,50.0,0.5,auto,14.648442699981388,360214.3454097748,127,1
6502,0.8,200,0.6,0.4,50.0,0.5,50,14.613361699972302,274958.48368721013,128,0
6502,0.8,200,0.6,0.4,50.0,0.5,100,14.766525499988347,290350.7018112183,129,1
6502,0.8,200,0.6,0.4,50.0,0.3,auto,14.720919899991713,353601.3021388626,130,1
6502,0.8,200,0.6,0.4,50.0,0.3,50,14.814611300011165,276851.52309089666,131,1
6502,0.8,200,0.6,0.4,50.0,0.3,100,15.244257999991532,293890.37186609267,132,1
6502,0.8,200,0.6,0.4,100.0,0.5,auto,15.534858099999838,365918.52535600663,133,1
6502,0.8,200,0.6,0.4,100.0,0.5,50,15.567016599990893,273640.503564415,134,0
6502,0.8,200,0.6,0.4,100.0,0.5,100,15.352122400014196,286302.5036746979,135,1
6502,0.8,200,0.6,0.4,100.0,0.3,auto,15.287041699979454,362747.7841073609,136,1
6502,0.8,200,0.6,0.4,100.0,0.3,50,15.532293699972797,275165.2234631157,137,1
6502,0.8,200,0.6,0.4,100.0,0.3,100,14.555880400002934,288104.00375457766,138,1
6502,0.9,100,0.7,0.3,50.0,0.5,auto,14.4625931000337,370057.9837137222,139,1
6502,0.9,100,0.7,0.3,50.0,0.5,50,14.418079400027636,288849.5332098198,140,1
6502,0.9,100,0.7,0.3,50.0,0.5,100,14.490459199994802,296567.85414884565,141,1
6502,0.9,100,0.7,0.3,50.0,0.3,auto,14.359486999979708,358775.88408967975,142,1
6502,0.9,100,0.7,0.3,50.0,0.3,50,14.316653200017754,288949.7327041245,143,1
6502,0.9,100,0.7,0.3,50.0,0.3,100,14.282623499981128,304703.7125603867,144,1
6502,0.9,100,0.7,0.3,100.0,0.5,auto,14.298520000011194,388968.32428426744,145,1
6502,0.9,100,0.7,0.3,100.0,0.5,50,14.304583500023,287187.7627482033,146,1
