kind,episode,loss,policy_loss,value_loss,entropy,steps,hpwl_local_end,time_sec
swap,49,5755.013184,,,,80,5101.859986,0.235929
swap,50,5308.271362,,,,80,5212.179991,0.237833
swap,51,4157.618530,,,,80,5225.839988,0.251361
swap,52,4383.311401,,,,80,5247.579995,0.290103
swap,53,1110.781830,,,,80,4870.479995,0.294919
swap,54,4536.619385,,,,80,5268.159994,0.295306
swap,55,1496.240479,,,,80,5195.539996,0.246503
swap,56,948.371857,,,,80,4893.539988,0.246667
swap,57,1160.682495,,,,80,5074.919990,0.256750
swap,58,5448.961670,,,,80,5003.139993,0.270021
swap,59,1191.050598,,,,80,4953.779991,0.273732
swap,60,386.618851,,,,80,4967.319988,0.276326
swap,1,2229.227112,,,,80,8681.069924,0.305183
swap,2,991.754349,,,,80,8620.349923,0.273940
swap,3,1453.828674,,,,80,8675.229922,0.270610
swap,4,2030.736603,,,,80,8586.369884,0.249076
swap,5,18574241.000000,,,,80,9690.969922,0.277681
swap,6,1935.232269,,,,80,8927.989925,0.254598
swap,7,1032.745117,,,,80,8679.769918,0.259840
swap,8,948.454391,,,,80,8679.769921,0.254533
swap,9,4109.413696,,,,80,8750.429924,0.260271
swap,10,71792.105469,,,,80,8710.989930,0.271796
swap,11,2091.203369,,,,80,8729.629918,0.277807
swap,12,1477.535980,,,,80,8817.149928,0.263062
swap,13,3559.472107,,,,80,8925.529918,0.265388
swap,14,3015.369507,,,,80,8927.389920,0.239612
swap,15,526.613785,,,,80,8651.109925,0.246543
swap,16,603.051865,,,,80,8683.549915,0.265586
swap,17,1016.725525,,,,80,8611.829915,0.256592
swap,18,5292.448608,,,,80,8893.929928,0.235279
swap,19,2403.239380,,,,80,8821.969925,0.295772
swap,20,1342.652802,,,,80,8783.929910,0.247712
swap,21,4076.942932,,,,80,8737.949926,0.254239
swap,22,954.741745,,,,80,8728.489919,0.253119
swap,23,2362.887756,,,,80,8714.069964,0.246244
swap,24,562.777603,,,,80,8676.609921,0.243780
swap,25,3907.625610,,,,80,8857.909920,0.248680
swap,26,9448.056396,,,,80,8752.809925,0.268465
swap,27,10786.016846,,,,80,8765.109919,0.266282
swap,28,10167.181396,,,,80,8884.009955,0.260239
swap,29,10247.841553,,,,80,8841.909922,0.272573
swap,30,10560.100586,,,,80,8843.729920,0.281840
swap,31,12866.775146,,,,80,8988.229935,0.272778
swap,32,369968.882812,,,,80,8400.029926,0.268028
swap,33,6613.530518,,,,80,8766.969919,0.256512
swap,34,6055.918579,,,,80,8651.529920,0.272619
swap,35,6838.538696,,,,80,8639.429914,0.231466
swap,36,60019.184570,,,,80,8604.369901,0.283861
swap,37,89917.388672,,,,80,8359.449925,0.277364
swap,38,13874.575684,,,,80,8721.209919,0.274545
swap,39,10939122.250000,,,,80,9353.269956,0.263440
swap,40,276518.218750,,,,80,8502.749929,0.242282
swap,41,3467.902344,,,,80,8642.909917,0.267560
swap,42,5250.268311,,,,80,8829.749929,0.254181
swap,43,12278.118652,,,,80,8961.829922,0.274076
swap,44,10002.342285,,,,80,8679.129923,0.278124
swap,45,8779.609619,,,,80,8854.189922,0.260847
swap,46,10845.246338,,,,80,8716.249926,0.260056
swap,47,2324.778870,,,,80,8611.829915,0.266570
swap,48,5791.260864,,,,80,8722.249928,0.266003
swap,49,8746.959717,,,,80,8819.509938,0.266370
swap,50,5635.550049,,,,80,8779.309916,0.244571
swap,51,8890.834961,,,,80,8721.429914,0.288291
swap,52,7635.148071,,,,80,8905.429920,0.246837
swap,53,9693.120117,,,,80,8748.009918,0.271390
swap,54,10521.027588,,,,80,8816.149925,0.310341
swap,55,15056.371826,,,,80,9072.969915,0.349140
swap,56,5554.867920,,,,80,8777.229919,0.281445
swap,57,12418.689697,,,,80,8861.029923,0.263002
swap,58,13271.801025,,,,80,8812.469918,0.274496
swap,59,3346.256226,,,,80,8580.009918,0.269138
swap,60,5442.055298,,,,80,8725.409914,0.285761
swap,1,6515.246338,,,,80,11195.989890,0.286712
swap,2,5937156.500000,,,,80,11463.949886,0.257559
swap,3,8754382.250000,,,,80,11616.169820,0.239797
swap,4,32503.586914,,,,80,10657.009929,0.256620
swap,5,22764429.000000,,,,80,11044.009962,0.233906
swap,6,27169664.000000,,,,80,11833.949890,0.295460
swap,7,179936.753906,,,,80,10473.209865,0.265524
swap,8,8916.847900,,,,80,11152.929900,0.275275
swap,9,5867762.125000,,,,80,10840.169846,0.270460
swap,10,8067.077759,,,,80,11193.689891,0.254795
swap,11,29548262.000000,,,,80,11675.349827,0.268012
swap,12,8473764.250000,,,,80,10373.489855,0.285530
swap,13,4684071.125000,,,,80,10395.889918,0.268125
swap,14,9170933.500000,,,,80,12099.569881,0.245449
swap,15,13825681.000000,,,,80,12799.369906,0.267667
swap,16,24677276.000000,,,,80,12057.549889,0.290955
swap,17,23865773.000000,,,,80,10585.269888,0.286220
swap,18,6563812.625000,,,,80,10352.629898,0.279091
swap,19,11595.462402,,,,80,11281.529940,0.272770
swap,20,12651.114258,,,,80,10985.549849,0.292817
swap,21,6746531.250000,,,,80,11772.129820,0.291267
swap,22,6125903.375000,,,,80,11091.409874,0.295192
swap,23,1891388.125000,,,,80,11917.849945,0.310301
swap,24,8403.857910,,,,80,11174.429911,0.317775
swap,25,12264204.000000,,,,80,11667.809893,0.316321
swap,26,107964.871094,,,,80,10550.369963,0.308548
swap,27,17135.650391,,,,80,11032.989871,0.315581
swap,28,20546.972656,,,,80,11427.569943,0.326072
swap,29,29979647.000000,,,,80,11697.849860,0.303662
swap,30,6652939.750000,,,,80,10844.869896,0.293402
swap,31,117703.283203,,,,80,11209.209902,0.315014
swap,32,34425.397461,,,,80,10604.809940,0.319762
swap,33,16332.506348,,,,80,11025.749863,0.290620
swap,34,291040.125000,,,,80,10688.929890,0.296097
swap,35,55030116.000000,,,,80,12790.129911,0.334826
swap,36,9281934.750000,,,,80,12164.089852,0.340137
swap,37,20711.329590,,,,80,11043.529868,0.344010
swap,38,27823112.000000,,,,80,12053.569855,0.351856
swap,39,17384.822266,,,,80,11009.269859,0.330844
swap,40,43073.484375,,,,80,11481.549839,0.298221
swap,41,32193929.000000,,,,80,11954.429843,0.304986
swap,42,25904.565918,,,,80,11001.929894,0.311280
swap,43,43725.823242,,,,80,11081.589927,0.300029
swap,44,24150.140625,,,,80,11584.609879,0.341068
swap,45,6715961.125000,,,,80,11692.269915,0.345801
swap,46,11369038.250000,,,,80,11745.109933,0.341248
swap,47,15420.910156,,,,80,11028.469894,0.338397
swap,48,10271194.500000,,,,80,11539.989913,0.323433
swap,49,2515471.000000,,,,80,11429.049893,0.346470
swap,50,25105.069824,,,,80,10275.029930,0.321296
swap,51,26664475.500000,,,,80,11350.949856,0.339387
swap,52,34216055.000000,,,,80,11501.609833,0.295981
swap,53,28408448.000000,,,,80,11776.269882,0.311737
swap,54,31539.143555,,,,80,11763.349866,0.300319
swap,55,31461.377930,,,,80,11453.589846,0.315429
swap,56,16091.438477,,,,80,11389.849898,0.314594
swap,57,25492268.500000,,,,80,11691.409888,0.294775
swap,58,6870311.375000,,,,80,11371.109813,0.313711
swap,59,178043.562500,,,,80,11236.549914,0.320206
swap,60,30000273.000000,,,,80,11943.109817,0.300076
swap,1,400138.890625,,,,80,10962.159882,0.310948
swap,2,6422083.625000,,,,80,11253.019873,0.297254
swap,3,7648945.500000,,,,80,12906.879892,0.290782
swap,4,6819678.250000,,,,80,12148.099870,0.294401
swap,5,126970.824219,,,,80,12219.799901,0.304172
swap,6,95798.326172,,,,80,12769.639956,0.300372
swap,7,20070.047852,,,,80,12225.679918,0.306972
swap,8,415307.453125,,,,80,12699.859934,0.283831
swap,9,8752.969482,,,,80,11828.419966,0.293641
swap,10,51926.829102,,,,80,12643.059893,0.278925
swap,11,9577077.000000,,,,80,13204.259871,0.280736
swap,12,12941.498779,,,,80,11616.919897,0.292765
swap,13,83997.632812,,,,80,11641.899880,0.295901
swap,14,50254.310547,,,,80,11339.999952,0.307353
swap,15,19807.638672,,,,80,12311.039905,0.296578
swap,16,158088.445312,,,,80,12093.419939,0.303529
swap,17,112181.449219,,,,80,12095.279890,0.314071
swap,18,19635.559570,,,,80,11471.319929,0.281562
swap,19,21971.338379,,,,80,11803.439985,0.320063
swap,20,12142931.250000,,,,80,11566.779816,0.334886
swap,21,7158820.250000,,,,80,12632.179897,0.383365
swap,22,6298898.875000,,,,80,12035.879913,0.305874
swap,23,8964254.000000,,,,80,11845.699915,0.310685
swap,24,250293.570312,,,,80,11104.039942,0.291655
swap,25,18387.709961,,,,80,11806.319891,0.281587
swap,26,102109.242188,,,,80,12207.259909,0.303107
swap,27,242683.070312,,,,80,12381.699883,0.273048
swap,28,169881.609375,,,,80,12196.059920,0.311263
swap,29,362315.726562,,,,80,11413.839909,0.305331
swap,30,4695662.250000,,,,80,11542.659947,0.275104
swap,31,215056.828125,,,,80,12724.619869,0.269140
swap,32,67409.429688,,,,80,12701.179888,0.267409
