cell_type,cell_name
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2315
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2316
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2317
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2318
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2319
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2320
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2321
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2322
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2323
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2324
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2325
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2326
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2327
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2328
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2329
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2330
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2331
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2332
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2333
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2334
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2335
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2336
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2337
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2338
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2339
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2340
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2341
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2342
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2343
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2344
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2345
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2346
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2347
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2348
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2349
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2350
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2351
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2352
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2353
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2354
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2355
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2356
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2357
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2358
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2359
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2360
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2361
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2362
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2363
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2364
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2365
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2366
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2367
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2368
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2369
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2370
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2371
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2372
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2373
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2374
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2375
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2376
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2377
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2378
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2379
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2380
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2381
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2382
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2383
sky130_fd_sc_hd__clkinv_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2384
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2385
sky130_fd_sc_hd__or2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2386
sky130_fd_sc_hd__nand2_2,$abc$2096$auto$blifparse.cc:396:parse_blif$2387
