cell_name,cell_type,port,net_bit,net_name,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2414,sky130_fd_sc_hd__nand2_2,B,437,$abc$2096$new_n370,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2414,sky130_fd_sc_hd__nand2_2,Y,440,$abc$2096$new_n373,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2415,sky130_fd_sc_hd__clkinv_2,A,440,$abc$2096$new_n373,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2415,sky130_fd_sc_hd__clkinv_2,Y,441,$abc$2096$new_n374,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2416,sky130_fd_sc_hd__nand2_2,A,427,$abc$2096$new_n360,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2416,sky130_fd_sc_hd__nand2_2,B,441,$abc$2096$new_n374,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2416,sky130_fd_sc_hd__nand2_2,Y,442,$abc$2096$new_n375,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2417,sky130_fd_sc_hd__or2_2,A,439,$abc$2096$new_n372,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2417,sky130_fd_sc_hd__or2_2,B,442,$abc$2096$new_n375,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2417,sky130_fd_sc_hd__or2_2,X,443,$abc$2096$new_n376,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2418,sky130_fd_sc_hd__clkinv_2,A,443,$abc$2096$new_n376,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2418,sky130_fd_sc_hd__clkinv_2,Y,444,$abc$2096$new_n377,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2419,sky130_fd_sc_hd__nand2_2,A,422,$abc$2096$new_n355,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2419,sky130_fd_sc_hd__nand2_2,B,444,$abc$2096$new_n377,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2419,sky130_fd_sc_hd__nand2_2,Y,445,$abc$2096$new_n378,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2420,sky130_fd_sc_hd__or2_2,A,416,$abc$2096$new_n349,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2420,sky130_fd_sc_hd__or2_2,B,445,$abc$2096$new_n378,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2420,sky130_fd_sc_hd__or2_2,X,120,out_36,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2421,sky130_fd_sc_hd__nand2_2,A,19,in_15,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2421,sky130_fd_sc_hd__nand2_2,B,136,$abc$2096$new_n67,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2421,sky130_fd_sc_hd__nand2_2,Y,446,$abc$2096$new_n380,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2422,sky130_fd_sc_hd__or2_2,A,19,in_15,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2422,sky130_fd_sc_hd__or2_2,B,136,$abc$2096$new_n67,input
