cell_name,cell_type,port,net_bit,direction
$abc$2096$auto$blifparse.cc:396:parse_blif$2148,sky130_fd_sc_hd__clkinv_2,A,179,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2148,sky130_fd_sc_hd__clkinv_2,Y,180,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2149,sky130_fd_sc_hd__nand2_2,A,125,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2149,sky130_fd_sc_hd__nand2_2,B,168,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2149,sky130_fd_sc_hd__nand2_2,Y,181,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2150,sky130_fd_sc_hd__or2_2,A,125,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2150,sky130_fd_sc_hd__or2_2,B,168,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2150,sky130_fd_sc_hd__or2_2,X,182,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2151,sky130_fd_sc_hd__nand2_2,A,181,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2151,sky130_fd_sc_hd__nand2_2,B,182,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2151,sky130_fd_sc_hd__nand2_2,Y,183,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2152,sky130_fd_sc_hd__or2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2152,sky130_fd_sc_hd__or2_2,B,112,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2152,sky130_fd_sc_hd__or2_2,X,184,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2153,sky130_fd_sc_hd__nand2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2153,sky130_fd_sc_hd__nand2_2,B,183,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2153,sky130_fd_sc_hd__nand2_2,Y,185,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2154,sky130_fd_sc_hd__nand2_2,A,184,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2154,sky130_fd_sc_hd__nand2_2,B,185,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2154,sky130_fd_sc_hd__nand2_2,Y,186,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2155,sky130_fd_sc_hd__clkinv_2,A,186,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2155,sky130_fd_sc_hd__clkinv_2,Y,187,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2156,sky130_fd_sc_hd__nand2_2,A,24,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2156,sky130_fd_sc_hd__nand2_2,B,168,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2156,sky130_fd_sc_hd__nand2_2,Y,188,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2157,sky130_fd_sc_hd__nand2_2,A,124,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2157,sky130_fd_sc_hd__nand2_2,B,113,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2157,sky130_fd_sc_hd__nand2_2,Y,189,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2158,sky130_fd_sc_hd__nand2_2,A,188,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2158,sky130_fd_sc_hd__nand2_2,B,189,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2158,sky130_fd_sc_hd__nand2_2,Y,190,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2159,sky130_fd_sc_hd__or2_2,A,12,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2159,sky130_fd_sc_hd__or2_2,B,4,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2159,sky130_fd_sc_hd__or2_2,X,191,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2160,sky130_fd_sc_hd__or2_2,A,20,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2160,sky130_fd_sc_hd__or2_2,B,21,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2160,sky130_fd_sc_hd__or2_2,X,192,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2161,sky130_fd_sc_hd__clkinv_2,A,192,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2161,sky130_fd_sc_hd__clkinv_2,Y,193,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2162,sky130_fd_sc_hd__or2_2,A,128,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2162,sky130_fd_sc_hd__or2_2,B,192,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2162,sky130_fd_sc_hd__or2_2,X,194,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2163,sky130_fd_sc_hd__clkinv_2,A,194,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2163,sky130_fd_sc_hd__clkinv_2,Y,195,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2164,sky130_fd_sc_hd__nand2_2,A,20,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2164,sky130_fd_sc_hd__nand2_2,B,21,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2164,sky130_fd_sc_hd__nand2_2,Y,196,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2165,sky130_fd_sc_hd__nand2_2,A,12,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2165,sky130_fd_sc_hd__nand2_2,B,4,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2165,sky130_fd_sc_hd__nand2_2,Y,197,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2166,sky130_fd_sc_hd__clkinv_2,A,197,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2166,sky130_fd_sc_hd__clkinv_2,Y,198,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2167,sky130_fd_sc_hd__nand2_2,A,196,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2167,sky130_fd_sc_hd__nand2_2,B,197,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2167,sky130_fd_sc_hd__nand2_2,Y,199,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2168,sky130_fd_sc_hd__or2_2,A,22,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2168,sky130_fd_sc_hd__or2_2,B,199,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2168,sky130_fd_sc_hd__or2_2,X,200,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2169,sky130_fd_sc_hd__nand2_2,A,194,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2169,sky130_fd_sc_hd__nand2_2,B,200,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2169,sky130_fd_sc_hd__nand2_2,Y,201,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2170,sky130_fd_sc_hd__nand2_2,A,191,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2170,sky130_fd_sc_hd__nand2_2,B,201,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2170,sky130_fd_sc_hd__nand2_2,Y,202,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2171,sky130_fd_sc_hd__nand2_2,A,22,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2171,sky130_fd_sc_hd__nand2_2,B,130,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2171,sky130_fd_sc_hd__nand2_2,Y,203,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2172,sky130_fd_sc_hd__or2_2,A,193,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2172,sky130_fd_sc_hd__or2_2,B,203,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2172,sky130_fd_sc_hd__or2_2,X,204,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2173,sky130_fd_sc_hd__or2_2,A,22,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2173,sky130_fd_sc_hd__or2_2,B,196,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2173,sky130_fd_sc_hd__or2_2,X,205,output
$abc$2096$auto$blifparse.cc:396:parse_blif$2174,sky130_fd_sc_hd__or2_2,A,197,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2174,sky130_fd_sc_hd__or2_2,B,205,input
$abc$2096$auto$blifparse.cc:396:parse_blif$2174,sky130_fd_sc_hd__or2_2,X,206,output
