cell_name,site_id,x_um,y_um
$auto$insbuf.cc:97:execute$11991,65181,998.56,432.68
$auto$insbuf.cc:97:execute$11992,49327,991.66,331.2
$auto$insbuf.cc:97:execute$11993,81092,991.2,547.76
$auto$insbuf.cc:97:execute$11994,114570,991.66,765.32
$auto$insbuf.cc:97:execute$11995,81057,998.56,539.6
$auto$insbuf.cc:97:execute$11996,65203,991.66,438.12
$auto$insbuf.cc:97:execute$11997,130461,993.04,874.96
$auto$insbuf.cc:97:execute$11998,31753,5.46,218.84
$auto$insbuf.cc:97:execute$11999,146437,5.46,996.48
$auto$insbuf.cc:97:execute$12000,146510,62.2,991.04
$auto$insbuf.cc:97:execute$12001,169,105.06,7.72
$auto$insbuf.cc:97:execute$12002,58862,402.56,397.04
$auto$insbuf.cc:97:execute$12003,130459,991.2,874.96
$auto$insbuf.cc:97:execute$12004,149150,555.76,1011.08
$auto$insbuf.cc:97:execute$12005,146957,331.56,991.04
$auto$insbuf.cc:97:execute$12006,114584,991.66,768.04
$auto$insbuf.cc:97:execute$12007,144588,1003.16,972.72
$auto$insbuf.cc:97:execute$12008,130460,991.66,874.96
$auto$insbuf.cc:97:execute$12009,5295,10.06,40.64
$auto$insbuf.cc:97:execute$12010,22957,5.46,164.88
$auto$insbuf.cc:97:execute$12011,112910,5.0,768.04
$auto$insbuf.cc:97:execute$12012,17640,5.0,123.8
$auto$insbuf.cc:97:execute$12013,112897,5.46,765.32
$auto$insbuf.cc:97:execute$12014,146436,5.0,996.48
$auto$insbuf.cc:97:execute$12015,1127,662.8,5.0
$auto$insbuf.cc:97:execute$12016,2904,688.56,16.880000000000003
$auto$insbuf.cc:97:execute$12017,17548,989.36,111.92
$auto$insbuf.cc:97:execute$12018,33438,989.36,221.56
$auto$insbuf.cc:97:execute$12019,1714,993.04,13.16
$auto$insbuf.cc:97:execute$12020,15791,1003.16,100.04
$auto$insbuf.cc:97:execute$12021,49317,993.04,328.48
$auto$insbuf.cc:97:execute$12022,63444,1003.16,426.24
$auto$insbuf.cc:97:execute$12023,79395,5.46,542.3199999999999
$auto$insbuf.cc:97:execute$12024,146622,119.4,993.76
$auto$insbuf.cc:97:execute$12025,146438,7.3,996.48
$auto$insbuf.cc:97:execute$12026,135867,5.0,927.92
$auto$insbuf.cc:97:execute$12027,146346,991.2,984.6
$auto$insbuf.cc:97:execute$12028,114583,991.2,768.04
$auto$insbuf.cc:97:execute$12029,146324,996.26,979.16
$abc$9276$auto$blifparse.cc:396:parse_blif$9417,112409,753.66,753.44
$abc$9276$auto$blifparse.cc:396:parse_blif$9435,73565,722.76,494.8
$abc$9276$auto$blifparse.cc:396:parse_blif$9455,147895,888.76,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$9475,147932,892.06,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$9516,82469,779.96,551.48
$abc$9276$auto$blifparse.cc:396:parse_blif$9536,89564,779.96,607.16
$flatten\CPU.$auto$ff.cc:266:slice$5136,737,436.76,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$11565,69567,455.16,473.76
$abc$9276$auto$blifparse.cc:396:parse_blif$11566,74949,497.64,509.4
$abc$9276$auto$blifparse.cc:396:parse_blif$10000,15881,14.2,111.92
$abc$9276$auto$blifparse.cc:396:parse_blif$10001,54,42.8,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10002,55,45.56,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10003,56,47.4,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10004,57,47.86,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10005,58,50.16,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10006,70,47.4,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10007,71,47.86,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10008,72941,356.94,497.52
$abc$9276$auto$blifparse.cc:396:parse_blif$10009,147110,428.86,991.04
$abc$9276$auto$blifparse.cc:396:parse_blif$10010,110091,428.86,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10011,110090,426.56,747.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10012,158,111.96,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10013,756,447.8,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10014,67,40.5,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10015,183,111.96,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10016,286,150.76,13.16
$abc$9276$auto$blifparse.cc:396:parse_blif$10017,160,116.56,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10018,185,116.56,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10019,184,114.26,10.44
$abc$9276$auto$blifparse.cc:396:parse_blif$10020,121,77.84,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10021,100,64.96000000000001,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10022,101,67.26,5.0
$abc$9276$auto$blifparse.cc:396:parse_blif$10023,114,64.96000000000001,7.72
$abc$9276$auto$blifparse.cc:396:parse_blif$10024,115,67.26,7.72
